Title,Status,Price,Wishlist,Character,Series,Category,Manufacturer
"PVC Figure 1/7 Asuna - Stacia, the Goddess of Creation",Ready Stock,3150000,102,Asuna,Sword Art Online,Scaled Figure,Good Smile Company
Shueisha Jujutsu Kaisen Artbook Official Start Guide - Gege Akutami,Ready Stock,330000,102,Jujutsu Kaisen,Artbook,Shueisha,
Pop Up Parade Figure Rimuru Tempest - Tensei Shitara Slime Datta Ken,Ready Stock,540000,102,Rimuru Tempest,Tensei Shitara Slime Datta ken,Pop Up Parade,Good Smile Company
[Limited Distribution] figma Levi - Shingeki no Kyojin (Re-Release),Sold Out,1180000,102,Levi,Shingeki no Kyojin,figma,Max Factory
PVC Figure Kirito Integrity Knight - Sword Art Online: Alicization Rising Steel (20cm),Sold Out,290000,102,Kirito,Sword Art Online,Prize Figure,Bandai Spirits
PVC Figure 1/6 Nakano Miku: Date Style Ver. - Gotoubun no Hanayome,Ready Stock,2250000,102,Nakano Miku,Gotoubun no Hanayome,Scaled Figure,Good Smile Company
Coreful Figure Nanami Minami - Jaku-Chara Tomozaki-kun (20cm),Sold Out,350000,101,Nanami Minami,Jaku-Chara Tomozaki-kun,Prize Figure,Taito
Coreful Figure Elaina - China Dress Ver. (20cm),Ready Stock,400000,101,Elaina,Majo no Tabitabi,Prize Figure,Taito
PVC Figure Hatsune Miku - 2nd Season Spring Ver. (18cm),Sold Out,350000,101,Hatsune Miku,Vocaloid,Prize Figure,Taito
Diluc Capsule Collection Figure Vol. 1 - Genshin Impact,Sold Out,100000,101,Diluc,Genshin Impact,Mini Figure,Bushiroad Creative
PVC Figure Levi - Shingeki no Kyojin The Final Season (18cm),Ready Stock,350000,101,Levi,Shingeki no Kyojin,Prize Figure,Bandai Spirits
[Limited Production] Nendoroid Gaara - Naruto (Re-Release),Ready Stock,580000,101,Gaara,Naruto,Nendoroid,Good Smile Company
Pop Up Parade Figure Chika Fujiwara - Kaguya-sama wa Kokurasetai,Ready Stock,480000,101,Chika Fujiwara,Kaguya-sama wa Kokurasetai,Pop Up Parade,Good Smile Company
Omanjuu Childe Teyvat Zoo Theme Series - Genshin Impact,Ready Stock,235000,101,Childe,Genshin Impact,Merchandise - Plush,Mihoyo
